sound_sample_name,sample,form,geol,hit_number,sample_name,sample_number,sound_sample_name_simple,sound_number,mass_ini,mass_0,mass_n,mass_end,f1_ini,a1_ini,f1_0,a1_0,f1_n,a1_n,f1_end,a1_end
M_pl_b_1,M,pl,b,1,S13,13,S13_1,1,2362.45,2375.86,2376.4,2362.31,2060.244079,0.342073,2000.822838,0.42474,2005.202916,0.555311,2064.936877,0.866313
M_pl_b_2,M,pl,b,2,S13,13,S13_2,2,2362.45,2375.86,2376.4,2362.31,2060.244079,0.342073,2000.822838,0.42474,2005.202916,0.555311,2064.936877,0.866313
M_pl_b_3,M,pl,b,3,S13,13,S13_3,3,2362.45,2375.86,2376.4,2362.31,2060.244079,0.342073,2000.822838,0.42474,2005.202916,0.555311,2064.936877,0.866313
M_pl_b_4,M,pl,b,4,S13,13,S13_4,4,2362.45,2375.86,2376.4,2362.31,2060.244079,0.342073,2000.822838,0.42474,2005.202916,0.555311,2064.936877,0.866313
M_pl_b_5,M,pl,b,5,S13,13,S13_5,5,2362.45,2375.86,2376.4,2362.31,2060.244079,0.342073,2000.822838,0.42474,2005.202916,0.555311,2064.936877,0.866313
M_pl_b_6,M,pl,b,6,S13,13,S13_6,6,2362.45,2375.86,2376.4,2362.31,2060.244079,0.342073,2000.822838,0.42474,2005.202916,0.555311,2064.936877,0.866313
M_pl_b_7,M,pl,b,7,S13,13,S13_7,7,2362.45,2375.86,2376.4,2362.31,2060.244079,0.342073,2000.822838,0.42474,2005.202916,0.555311,2064.936877,0.866313
M_pl_b_8,M,pl,b,8,S13,13,S13_8,8,2362.45,2375.86,2376.4,2362.31,2060.244079,0.342073,2000.822838,0.42474,2005.202916,0.555311,2064.936877,0.866313
M_pl_b_9,M,pl,b,9,S13,13,S13_9,9,2362.45,2375.86,2376.4,2362.31,2060.244079,0.342073,2000.822838,0.42474,2005.202916,0.555311,2064.936877,0.866313
M_pl_c_1,M,pl,c,1,S14,14,S14_1,1,3691.05,3703.01,3707.27,3694.67,3058.309851,0.275313,2986,0.3288,2964.300091,0.436092,3017.978081,0.33892
M_pl_c_2,M,pl,c,2,S14,14,S14_2,2,3691.05,3703.01,3707.27,3694.67,3058.309851,0.275313,2986,0.3288,2964.300091,0.436092,3017.978081,0.33892
M_pl_c_3,M,pl,c,3,S14,14,S14_3,3,3691.05,3703.01,3707.27,3694.67,3058.309851,0.275313,2986,0.3288,2964.300091,0.436092,3017.978081,0.33892
M_pl_c_4,M,pl,c,4,S14,14,S14_4,4,3691.05,3703.01,3707.27,3694.67,3058.309851,0.275313,2986,0.3288,2964.300091,0.436092,3017.978081,0.33892
M_pl_c_5,M,pl,c,5,S14,14,S14_5,5,3691.05,3703.01,3707.27,3694.67,3058.309851,0.275313,2986,0.3288,2964.300091,0.436092,3017.978081,0.33892
M_pl_c_6,M,pl,c,6,S14,14,S14_6,6,3691.05,3703.01,3707.27,3694.67,3058.309851,0.275313,2986,0.3288,2964.300091,0.436092,3017.978081,0.33892
M_pl_c_7,M,pl,c,7,S14,14,S14_7,7,3691.05,3703.01,3707.27,3694.67,3058.309851,0.275313,2986,0.3288,2964.300091,0.436092,3017.978081,0.33892
M_pl_c_8,M,pl,c,8,S14,14,S14_8,8,3691.05,3703.01,3707.27,3694.67,3058.309851,0.275313,2986,0.3288,2964.300091,0.436092,3017.978081,0.33892
M_pl_c_9,M,pl,c,9,S14,14,S14_9,9,3691.05,3703.01,3707.27,3694.67,3058.309851,0.275313,2986,0.3288,2964.300091,0.436092,3017.978081,0.33892
M_pl_f_1,M,pl,f,1,S15,15,S15_1,1,3158.31,3165.2,3168.6,3161.01,2825.27354,0.329002,2773.251915,0.402695,2770.3015,0.379047,2817.472917,0.515376
M_pl_f_2,M,pl,f,2,S15,15,S15_2,2,3158.31,3165.2,3168.6,3161.01,2825.27354,0.329002,2773.251915,0.402695,2770.3015,0.379047,2817.472917,0.515376
M_pl_f_3,M,pl,f,3,S15,15,S15_3,3,3158.31,3165.2,3168.6,3161.01,2825.27354,0.329002,2773.251915,0.402695,2770.3015,0.379047,2817.472917,0.515376
M_pl_f_4,M,pl,f,4,S15,15,S15_4,4,3158.31,3165.2,3168.6,3161.01,2825.27354,0.329002,2773.251915,0.402695,2770.3015,0.379047,2817.472917,0.515376
M_pl_f_5,M,pl,f,5,S15,15,S15_5,5,3158.31,3165.2,3168.6,3161.01,2825.27354,0.329002,2773.251915,0.402695,2770.3015,0.379047,2817.472917,0.515376
M_pl_f_6,M,pl,f,6,S15,15,S15_6,6,3158.31,3165.2,3168.6,3161.01,2825.27354,0.329002,2773.251915,0.402695,2770.3015,0.379047,2817.472917,0.515376
M_pl_f_7,M,pl,f,7,S15,15,S15_7,7,3158.31,3165.2,3168.6,3161.01,2825.27354,0.329002,2773.251915,0.402695,2770.3015,0.379047,2817.472917,0.515376
M_pl_f_8,M,pl,f,8,S15,15,S15_8,8,3158.31,3165.2,3168.6,3161.01,2825.27354,0.329002,2773.251915,0.402695,2770.3015,0.379047,2817.472917,0.515376
M_pl_f_9,M,pl,f,9,S15,15,S15_9,9,3158.31,3165.2,3168.6,3161.01,2825.27354,0.329002,2773.251915,0.402695,2770.3015,0.379047,2817.472917,0.515376
M_pt_a2_1,M,pt,a2,1,S16,16,S16_1,1,406.72,408.97,409.1,406.6,4472,0.5842,4404,0.9945,3786.597951,1.935203,1653.087532,7.785392
M_pt_a2_2,M,pt,a2,2,S16,16,S16_2,2,406.72,408.97,409.1,406.6,4472,0.5842,4404,0.9945,3786.597951,1.935203,1653.087532,7.785392
M_pt_a2_3,M,pt,a2,3,S16,16,S16_3,3,406.72,408.97,409.1,406.6,4472,0.5842,4404,0.9945,3786.597951,1.935203,1653.087532,7.785392
